Date,Price,Open,High,Low,Volume
2005/1/3,1202.079956,1211.920044,1217.800049,1200.319946,1510800000
2005/1/4,1188.050049,1202.079956,1205.839966,1185.390015,1721000000
2005/1/5,1183.73999,1188.050049,1192.72998,1183.719971,1738900000
2005/1/6,1187.890015,1183.73999,1191.630005,1183.27002,1569100000
2005/1/7,1186.189941,1187.890015,1192.199951,1182.160034,1477900000
2005/1/10,1190.25,1186.189941,1194.780029,1184.800049,1490400000
2005/1/11,1182.98999,1190.25,1190.25,1180.430054,1488800000
2005/1/12,1187.699951,1182.98999,1187.920044,1175.640015,1562100000
2005/1/13,1177.449951,1187.699951,1187.699951,1175.810059,1510300000
2005/1/14,1184.52002,1177.449951,1185.209961,1177.449951,1335400000
2005/1/18,1195.97998,1184.52002,1195.97998,1180.099976,1596800000
2005/1/19,1184.630005,1195.97998,1195.97998,1184.410034,1498700000
2005/1/20,1175.410034,1184.630005,1184.630005,1173.420044,1692000000
2005/1/21,1167.869995,1175.410034,1179.449951,1167.819946,1643500000
2005/1/24,1163.75,1167.869995,1173.030029,1163.75,1494600000
2005/1/25,1168.410034,1163.75,1174.300049,1163.75,1610400000
2005/1/26,1174.069946,1168.410034,1175.959961,1168.410034,1635900000
2005/1/27,1174.550049,1174.069946,1177.5,1170.150024,1600600000
2005/1/28,1171.359985,1174.550049,1175.609985,1166.25,1641800000
2005/1/31,1181.27002,1171.359985,1182.069946,1171.359985,1679800000
2005/2/1,1189.410034,1181.27002,1190.390015,1180.949951,1681980000
2005/2/2,1193.189941,1189.410034,1195.25,1188.920044,1561740000
2005/2/3,1189.890015,1193.189941,1193.189941,1185.640015,1554460000
2005/2/4,1203.030029,1189.890015,1203.469971,1189.670044,1648160000
2005/2/7,1201.719971,1203.030029,1204.150024,1199.27002,1347270000
2005/2/8,1202.300049,1201.719971,1205.109985,1200.160034,1416170000
2005/2/9,1191.98999,1202.300049,1203.829956,1191.540039,1511040000
2005/2/10,1197.01001,1191.98999,1198.75,1191.540039,1491670000
2005/2/11,1205.300049,1197.01001,1208.380005,1193.280029,1562300000
2005/2/14,1206.140015,1205.300049,1206.930054,1203.589966,1290180000
2005/2/15,1210.119995,1206.140015,1212.439941,1205.52002,1527080000
2005/2/16,1210.339966,1210.119995,1212.439941,1205.060059,1490100000
2005/2/17,1200.75,1210.339966,1211.329956,1200.73999,1580120000
2005/2/18,1201.589966,1200.75,1202.920044,1197.349976,1551200000
2005/2/22,1184.160034,1201.589966,1202.47998,1184.160034,1744940000
2005/2/23,1190.800049,1184.160034,1193.52002,1184.160034,1501090000
2005/2/24,1200.199951,1190.800049,1200.420044,1187.800049,1518750000
2005/2/25,1211.369995,1200.199951,1212.150024,1199.609985,1523680000
2005/2/28,1203.599976,1211.369995,1211.369995,1198.130005,1795480000
2005/3/1,1210.410034,1203.599976,1212.25,1203.599976,1708060000
2005/3/2,1210.079956,1210.410034,1215.790039,1204.219971,1568540000
2005/3/3,1210.469971,1210.079956,1215.719971,1204.449951,1616240000
2005/3/4,1222.119995,1210.469971,1224.76001,1210.469971,1636820000
2005/3/7,1225.310059,1222.119995,1229.109985,1222.119995,1488830000
2005/3/8,1219.430054,1225.310059,1225.689941,1218.569946,1523090000
2005/3/9,1207.01001,1219.430054,1219.430054,1206.660034,1704970000
2005/3/10,1209.25,1207.01001,1211.22998,1201.410034,1604020000
2005/3/11,1200.079956,1209.25,1213.040039,1198.150024,1449820000
2005/3/14,1206.829956,1200.079956,1206.829956,1199.51001,1437430000
